NUTS_CODE,NUTS_LEVEL,UNIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AT,0,MIO_EUR,213606.48,220525.08,226735.22,231862.46,242348.26,254075.03,267824.45,283977.97,293761.91,288044.02,295896.64,310128.66,318653.04,323910.2,333146.07,344258.51,356237.59,369899.17
BE,0,MIO_EUR,258222,265788.4,275065.1,282636.5,298710.8,311480.8,326662.1,344712.5,354065.9,348781.1,365100.5,379106.3,387500.1,392339.8,400086.6,411010.2,424660.3,439051.9
BG,0,MIO_EUR,14305.83,15784.3,17343.64,18654,20931.96,23852.65,27210.91,32449.11,37200.05,37317.66,38230.52,41292.04,41947.24,41858.11,42824.44,45288.46,48128.64,51663.02
CY,0,MIO_EUR,10804.59,11602.93,12082.95,12871.33,13937.98,15039.29,16263.84,17591.05,19006.18,18673.53,19299.51,19730.98,19489.72,18140.49,17609.98,17746.02,18490.2,19570.92
CZ,0,MIO_EUR,66838.76,75387.72,87055.06,88249.14,96028.47,109627.66,123943.19,138302.85,161313.12,148682.01,156718.24,164040.46,161434.33,157741.65,156659.97,168473.29,176370.13,191721.76
DE,0,MIO_EUR,2116480,2179850,2209290,2220080,2270620,2300860,2393250,2513230,2561740,2460280,2580060,2703120,2758260,2826240,2938590,3048860,3159750,3277340
DK,0,MIO_EUR,178018.19,184045.57,189794.9,193353.39,202422.21,212832.34,225531.23,233383.22,241613.47,231278.1,243165.44,247879.9,254577.97,258742.68,265756.96,273017.55,282089.94,292806.04
EE,0,MIO_EUR,6170.77,6976.37,7773.84,8708.88,9707.66,11262.3,13521.71,16246.4,16517.27,14145.86,14716.53,16667.63,17934.89,18932.28,20061.19,20652.01,21682.65,23615.11
EL,0,MIO_EUR,142976,152193.84,163460.76,178904.9,193715.82,199242.31,217861.57,232694.59,241990.39,237534.18,226031.45,207028.88,191203.91,180654.28,178656.48,177258.36,176487.95,180217.59
ES,0,MIO_EUR,646250,699528,749288,803472,861420,930566,1007974,1080807,1116225,1079052,1080935,1070449,1039815,1025693,1037820,1081165,1118743,1166319
FI,0,MIO_EUR,136261,144437,148289,151569,158477,164387,172614,186584,193711,181029,187100,196869,199793,203338,205474,209604,216111,223843
HR,0,MIO_EUR,23581.99,25965.09,28531.01,30710.82,33423.34,36452.74,40158.68,43946.77,48138.8,45145.38,45155.53,44825.46,43982.74,43779.18,43431,44605.93,46639.46,48989.53
HU,0,MIO_EUR,51338.54,60092.5,71870.68,75462.97,83839.58,90948.92,91792.01,102169.14,108121.47,94262.49,98826.05,101317.03,99502.38,101890.51,105547.03,110898.69,113903.76,124050.31
IE,0,MIO_EUR,108380.4,121958.65,135959.2,145555.82,156143.8,170186.99,184993.73,197202.05,187769.05,170100.55,167721.19,171140.16,175216.19,179922.41,195292.85,262466.15,273238.2,294110.14
IT,0,MIO_EUR,1239266.3,1298890.2,1345794.2,1390709.6,1448362.7,1489725.5,1548473.4,1609550.8,1632150.8,1572878.3,1604514.5,1637462.9,1613265,1604599.1,1621827.2,1652085.4,1689747.6,1724954.5
LU,0,MIO_EUR,23079.42,23771.93,25094.71,26187.79,27935.53,30031.04,33808.45,37178.87,38128.58,36976.52,40177.81,43164.65,44112.1,46499.56,49824.51,51578.86,53303.03,55299.38
LV,0,MIO_EUR,8609.46,9360.83,10157.45,10478.6,11673.32,13726.21,17264.08,22679.27,24354.84,18749.33,17788.65,20202.27,22058.36,22828.95,23618.16,24320.32,25037.68,27033.06
MK,0,MIO_EUR,4094.6,4143.5,4240.5,4385.9,4577.7,5032,5472.2,6094.5,6772.1,6766.5,7108.3,7544.2,7584.8,8149.6,8562,9072.3,9656.5,10013.9
MT,0,MIO_EUR,4394.88,4541.1,4737.21,4794.65,4867.17,5142.14,5386.14,5757.48,6128.68,6138.62,6599.51,6835.35,7168.37,7645.2,8505.36,9643.51,10343.01,11294.87
PT,0,MIO_EUR,128466.31,135827.52,142631.41,146158.28,152371.56,158652.56,166248.72,175467.72,178872.58,175448.19,179929.81,176166.58,168397.97,170269.33,173079.06,179809.06,186480.45,194613.47
RO,0,MIO_EUR,40796.76,45503.46,48810.36,52930.97,61404,80225.58,98418.6,127632.03,146590.62,125213.9,125408.81,131925.36,133147.11,143801.63,150457.97,160297.79,170393.6,187516.77
SE,0,MIO_EUR,282246.25,268167.39,280966.15,293818.96,307793.8,313576.85,335282.03,356859.17,352741.6,310008.29,369478.15,405440.1,423808.44,436217.88,433140.08,449194.74,463147.46,475224.23
SI,0,MIO_EUR,21923.48,23248.09,25050.72,26303.1,27736.66,29235.37,31561.16,35152.59,37951.19,36166.2,36252.43,36896.3,36076.09,36239.2,37603.29,38863.34,40357.22,42999.66
SK,0,MIO_EUR,22346.85,23871.63,26305.63,30064.53,34702.28,39348.3,45530.16,56241.64,66002.77,64023.06,67577.29,70627.21,72703.51,74169.87,76087.79,79138.24,81226.07,84850.87
