NUTS_CODE,NUTS_LEVEL,UNIT,indic,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AT,0,KHAB,RNPTD,7549.43,7568.71,7574.14,7561.91,7561.43,7564.98,7569.79,7574.59,7585.32,7619.57,7677.85,7754.89,7840.71,7905.63,7936.12,7948.28,7959.02,7968.04,7976.79,7992.32,8011.57,8042.29,8082.12,8118.25,8169.44,8225.28,8267.95,8295.19,8321.54,8341.48,8361.07,8388.53,8426.31,8477.23,8543.93,8629.52,8739.81,8795.07,8837.71,8881.002,8923.662,8965.623
BE,0,KHAB,RNPTD,9859,9858,9856,9854,9855,9857,9859,9870,9904,9940,9968,10006,10047,10086,10116,10136.8,10156.6,10180.7,10202.4,10226.4,10251.2,10286.6,10332.8,10376.1,10421.1,10478.6,10548,10625.7,10710,10796.5,10895.6,10993.6,11067.8,11125,11179.8,11238.5,11295,11349.1,11403.7,11458.693,11516.607,11574.814
DE,0,KHAB,RNPTD,61566,61682,61638,61423,61175,61024,61066,61077,61449,62063,63253,79973,80500,80946,81147,81308,81466,81510,81446,81422,81457,81517,81578,81549,81456,81337,81173,80992,80764,80483,80284,80275,80426,80646,80983,81687,82349,82657,82906,83111.029,83283.544,83430.225
DK,0,KHAB,RNPTD,5124,5122,5118,5114,5111,5113,5120,5127,5130,5132,5140,5154,5171,5189,5206,5230,5262,5285,5303,5321,5338,5357,5376,5390,5403,5419,5437,5460,5493,5523,5547,5570,5591,5613,5643,5682,5729,5767,5794,5819,5843,5866.372
EL,0,KHAB,RNPTD,9642.505,9729.35,9789.513,9846.627,9895.801,9934.3,9967.213,10000.595,10036.983,10089.498,10196.792,10319.927,10399.061,10460.414,10512.922,10562.16,10608.82,10661.31,10720.57,10761.71,10805.8,10862.15,10902.01,10928.09,10955.16,10987.35,11020.39,11048.5,11077.86,11107.02,11121.38,11105,11045.04,10965.24,10892.37,10820.96,10775.99,10754.7,10727.56,10670.028,10610.462,10551.03
ES,0,KHAB,RNPTD,37491.165,37758.631,37986.012,38171.525,38330.364,38469.512,38584.624,38684.815,38766.939,38827.764,38867.322,38966.376,39157.685,39361.262,39549.108,39718.9,39884.25,40049.97,40214.07,40369.67,40554.39,40766.05,41423.52,42196.23,42859.17,43662.61,44360.52,45236.01,45983.17,46367.55,46562.48,46736.26,46766.4,46593.24,46455.12,46410.15,46449.87,46532.87,46728.96,47009.334,47338.399,47717.106
FI,0,KHAB,RNPTD,4779.5,4800,4826.9,4855.8,4881.8,4902.2,4918.2,4932.1,4946.5,4964.4,4986.4,5013.7,5042,5066.4,5088.3,5107.8,5124.6,5139.8,5153.5,5165.5,5176.2,5188,5200.6,5213,5228.2,5246.1,5266.3,5288.7,5313.4,5338.9,5363.4,5388.3,5414,5439,5462.5,5480.5,5495.3,5508.2,5516.2,5525.026,5531.656,5537.741
FR,0,KHAB,RNPTD,55157,55470,55805,56107,56381,56663,56953,57263,57594,57938,58256,58548,58839,59095,59315,59530,59742,59955,60176,60487,60903,61348,61796,62235,62695,63168,63609,64003,64361,64692,65011,65330,65651,65991,66312,66581,66828,67063,67274,67376.45,67554.045,67738.67
IE,0,KHAB,RNPTD,3401.83,3443.84,3480.85,3505.86,3529.86,3540.87,3541.87,3542.87,3530.7,3509.5,3505.8,3525.7,3549.1,3563.3,3570.7,3601.3,3626.1,3664.3,3714.17,3754.75,3804.25,3863.81,3931.84,3996.98,4067.33,4159.99,4269.83,4400.18,4496.04,4539.15,4559.77,4578.54,4597.44,4620.04,4652.46,4695.77,4748.99,4802.27,4860.65,4917.034,4955.878,4993.543
IT,0,KHAB,RNPTD,56433.883,56501.675,56543.548,56564.074,56576.718,56593.071,56596.155,56601.931,56629.288,56671.781,56719.239,56758.521,56797.087,56831.821,56843.4,56844.3,56860.3,56890.4,56906.7,56916.3,56942.1,56979.8,57099.5,57412.6,57844.8,58190.6,58428.4,58787.4,59241.9,59578.3,59829.6,60060,60339.1,60646.4,60789.1,60730.6,60627.5,60536.7,60421.8,60403.334,60379.48,60350.274
